Input	Input Type	MGI Gene/Marker ID	MP ID	Term
CD4	current symbol	MGI:88335	MP:0000689	abnormal spleen morphology
CD4	current symbol	MGI:88335	MP:0000921	demyelination
CD4	current symbol	MGI:88335	MP:0001805	decreased IgG level
CD4	current symbol	MGI:88335	MP:0001806	decreased IgM level
CD4	current symbol	MGI:88335	MP:0001847	brain inflammation
CD4	current symbol	MGI:88335	MP:0002145	abnormal T cell differentiation
CD4	current symbol	MGI:88335	MP:0002169	no abnormal phenotype detected
CD4	current symbol	MGI:88335	MP:0002347	abnormal lymph node T cell domain morphology
CD4	current symbol	MGI:88335	MP:0002408	abnormal double-positive T cell morphology
CD4	current symbol	MGI:88335	MP:0002432	abnormal CD4-positive, alpha beta T cell morphology
CD4	current symbol	MGI:88335	MP:0002460	decreased immunoglobulin level
CD4	current symbol	MGI:88335	MP:0002722	abnormal immune system organ morphology
CD4	current symbol	MGI:88335	MP:0003790	absent CD4-positive, alpha beta T cells
CD4	current symbol	MGI:88335	MP:0003944	abnormal T cell subpopulation ratio
CD4	current symbol	MGI:88335	MP:0004774	abnormal bile salt level
CD4	current symbol	MGI:88335	MP:0004804	decreased susceptibility to autoimmune diabetes
CD4	current symbol	MGI:88335	MP:0004946	abnormal regulatory T cell physiology
CD4	current symbol	MGI:88335	MP:0005010	abnormal CD8-positive, alpha beta T cell morphology
CD4	current symbol	MGI:88335	MP:0005018	decreased T cell number
CD4	current symbol	MGI:88335	MP:0005027	increased susceptibility to parasitic infection
CD4	current symbol	MGI:88335	MP:0005091	increased double-positive T cell number
CD4	current symbol	MGI:88335	MP:0005092	decreased double-positive T cell number
CD4	current symbol	MGI:88335	MP:0005095	decreased T cell proliferation
CD4	current symbol	MGI:88335	MP:0005348	increased T cell proliferation
CD4	current symbol	MGI:88335	MP:0005463	abnormal CD4-positive, alpha-beta T cell physiology
CD4	current symbol	MGI:88335	MP:0005466	abnormal T-helper 2 physiology
CD4	current symbol	MGI:88335	MP:0006413	increased T cell apoptosis
CD4	current symbol	MGI:88335	MP:0008074	increased CD4-positive, alpha beta T cell number
CD4	current symbol	MGI:88335	MP:0008075	decreased CD4-positive, alpha beta T cell number
CD4	current symbol	MGI:88335	MP:0008078	increased CD8-positive, alpha-beta T cell number
CD4	current symbol	MGI:88335	MP:0008100	absent plasma cells
CD4	current symbol	MGI:88335	MP:0008698	abnormal interleukin-4 secretion
CD4	current symbol	MGI:88335	MP:0020154	impaired humoral immune response
CD4	current symbol	MGI:88335	MP:0020937	increased susceptibility to Picornaviridae infection
CCL2	current symbol	MGI:98259	MP:0000122	premature tooth eruption
CCL2	current symbol	MGI:98259	MP:0000219	increased neutrophil cell number
CCL2	current symbol	MGI:98259	MP:0000221	decreased leukocyte cell number
CCL2	current symbol	MGI:98259	MP:0000343	altered response to myocardial infarction
CCL2	current symbol	MGI:98259	MP:0000759	abnormal skeletal muscle morphology
CCL2	current symbol	MGI:98259	MP:0001262	decreased body weight
CCL2	current symbol	MGI:98259	MP:0001326	retinal degeneration
CCL2	current symbol	MGI:98259	MP:0001504	abnormal posture
CCL2	current symbol	MGI:98259	MP:0001523	impaired righting response
CCL2	current symbol	MGI:98259	MP:0001554	increased circulating free fatty acid level
CCL2	current symbol	MGI:98259	MP:0001876	decreased inflammatory response
CCL2	current symbol	MGI:98259	MP:0001987	alcohol preference
CCL2	current symbol	MGI:98259	MP:0002078	abnormal glucose homeostasis
CCL2	current symbol	MGI:98259	MP:0002079	increased circulating insulin level
CCL2	current symbol	MGI:98259	MP:0002128	abnormal blood circulation
CCL2	current symbol	MGI:98259	MP:0002169	no abnormal phenotype detected
CCL2	current symbol	MGI:98259	MP:0002310	decreased susceptibility to hepatic steatosis
CCL2	current symbol	MGI:98259	MP:0002376	abnormal dendritic cell physiology
CCL2	current symbol	MGI:98259	MP:0002412	increased susceptibility to bacterial infection
CCL2	current symbol	MGI:98259	MP:0002444	abnormal T cell physiology
CCL2	current symbol	MGI:98259	MP:0002451	abnormal macrophage physiology
CCL2	current symbol	MGI:98259	MP:0002463	abnormal neutrophil physiology
CCL2	current symbol	MGI:98259	MP:0002493	increased IgG level
CCL2	current symbol	MGI:98259	MP:0002570	alcohol aversion
CCL2	current symbol	MGI:98259	MP:0002620	abnormal monocyte morphology
CCL2	current symbol	MGI:98259	MP:0002702	decreased circulating free fatty acid level
CCL2	current symbol	MGI:98259	MP:0002727	decreased circulating insulin level
CCL2	current symbol	MGI:98259	MP:0002805	abnormal conditioned taste aversion behavior
CCL2	current symbol	MGI:98259	MP:0002891	increased insulin sensitivity
CCL2	current symbol	MGI:98259	MP:0002908	delayed wound healing
CCL2	current symbol	MGI:98259	MP:0003009	abnormal cytokine secretion
CCL2	current symbol	MGI:98259	MP:0003156	abnormal leukocyte migration
CCL2	current symbol	MGI:98259	MP:0003383	abnormal gluconeogenesis
CCL2	current symbol	MGI:98259	MP:0003397	increased muscle weight
CCL2	current symbol	MGI:98259	MP:0003545	increased alcohol consumption
