Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0000219	increased neutrophil cell number
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0000231	hypertension
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0000280	thin ventricular wall
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001179	thick pulmonary interalveolar septum
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001182	lung hemorrhage
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001313	increased incidence of corneal inflammation
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001314	corneal opacity
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001544	abnormal cardiovascular system physiology
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001596	hypotension
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001625	cardiac hypertrophy
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001853	heart inflammation
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001861	lung inflammation
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0001862	interstitial pneumonia
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0002273	abnormal pulmonary alveolus epithelial cell morphology
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0002412	increased susceptibility to bacterial infection
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0002753	dilated heart left ventricle
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0002795	dilated cardiomyopathy
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0002833	increased heart weight
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003070	increased vascular permeability
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003136	yellow coat color
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003141	cardiac fibrosis
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003184	increased angiotensin I-converting enzyme activity
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003548	pulmonary hypertension
