,genes_related_count,genes_related,genes_in_pathway,p-value,count in gene set
Toll-like Receptor Signaling Pathway,30,"['toll like receptor 5', 'C-C motif chemokine ligand 5', 'tumor necrosis factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interferon alpha and beta receptor subunit 1', 'C-X-C motif chemokine ligand 9', 'CD80 molecule', 'interleukin 6', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'C-C motif chemokine ligand 3', 'CD40 molecule', 'CD14 molecule', 'interferon beta 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interferon alpha 1', 'C-X-C motif chemokine ligand 10', 'MYD88 innate immune signal transduction adaptor', 'toll like receptor 7', 'AKT serine/threonine kinase 1', 'toll like receptor 8', 'interleukin 1 beta', 'interferon regulatory factor 3', 'toll like receptor 3']",103,2.9085445416393947e-27,30/103
Regulation of toll-like receptor signaling pathway,32,"['toll like receptor 5', 'C-C motif chemokine ligand 5', 'tumor necrosis factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interferon alpha and beta receptor subunit 1', 'cytokine inducible SH2 containing protein', 'C-X-C motif chemokine ligand 9', 'CD80 molecule', 'interleukin 6', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'C-C motif chemokine ligand 3', 'CD40 molecule', 'CD14 molecule', 'spleen associated tyrosine kinase', 'interferon beta 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interferon alpha 1', 'C-X-C motif chemokine ligand 10', 'MYD88 innate immune signal transduction adaptor', 'toll like receptor 7', 'AKT serine/threonine kinase 1', 'toll like receptor 8', 'interleukin 1 beta', 'interferon regulatory factor 3', 'toll like receptor 3']",150,1.6120926717809219e-24,32/150
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway,18,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'cytokine inducible SH2 containing protein', 'signal transducer and activator of transcription 6', 'interleukin 6', 'signal transducer and activator of transcription 4', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'LCK proto-oncogene, Src family tyrosine kinase', 'AKT serine/threonine kinase 1', 'interleukin 2 receptor subunit alpha', 'protein tyrosine phosphatase non-receptor type 11']",40,1.3499172601843872e-19,18/40
Spinal Cord Injury,24,"['tumor necrosis factor', 'C-X-C motif chemokine ligand 2', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'early growth response 1', 'matrix metallopeptidase 9', 'interleukin 6', 'C-C motif chemokine ligand 2', 'intercellular adhesion molecule 1', 'interleukin 4', 'leptin', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'transforming growth factor beta 1', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interleukin 2', 'C-X-C motif chemokine ligand 10', 'C-C motif chemokine receptor 2', 'prostaglandin-endoperoxide synthase 2', 'interferon gamma', 'ras homolog family member A', 'interleukin 1 beta']",117,2.1609549112106818e-17,24/117
Leptin signaling pathway,20,"['estrogen receptor 1', 'signal transducer and activator of transcription 3', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'Sp1 transcription factor', 'cytokine inducible SH2 containing protein', 'REL proto-oncogene, NF-kB subunit', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'leptin', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'suppressor of cytokine signaling 3', 'cAMP responsive element binding protein 1', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'interleukin 1 beta', 'protein tyrosine phosphatase non-receptor type 11']",73,7.023896123196055e-17,20/73
IL-2 Signaling Pathway,16,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'cytokine inducible SH2 containing protein', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'LCK proto-oncogene, Src family tyrosine kinase', 'suppressor of cytokine signaling 3', 'spleen associated tyrosine kinase', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interleukin 2', 'AKT serine/threonine kinase 1', 'interleukin 2 receptor subunit alpha', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",37,7.191217546776876e-17,16/37
Oncostatin M Signaling Pathway,18,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'vascular endothelial growth factor A', 'early growth response 1', 'serpin family E member 1', 'C-C motif chemokine ligand 2', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'suppressor of cytokine signaling 3', 'tumor protein p53', 'cAMP responsive element binding protein 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",57,2.9176071837823683e-16,18/57
Folate Metabolism,19,"['coagulation factor II, thrombin', 'catalase', 'tumor necrosis factor', 'superoxide dismutase 1', 'albumin', 'serpin family E member 1', 'interleukin 6', 'C-C motif chemokine ligand 2', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'interleukin 4', 'myeloperoxidase', 'insulin', 'C-reactive protein', 'plasminogen activator, tissue type', 'tumor protein p53', 'interleukin 2', 'interferon gamma', 'interleukin 1 beta']",75,3.1048347929603007e-15,19/75
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection,18,"['tumor necrosis factor', 'activator of HSP90 ATPase activity 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interleukin 10', 'interleukin 4', 'CD28 molecule', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'LCK proto-oncogene, Src family tyrosine kinase', 'GRB2 related adaptor protein 2', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interleukin 2', 'protein tyrosine phosphatase receptor type C', 'CD8a molecule', 'interferon gamma', 'AKT serine/threonine kinase 1', 'Cbl proto-oncogene', 'CD4 molecule']",66,5.68195039441934e-15,18/66
Allograft Rejection,20,"['tumor necrosis factor', 'angiotensin II receptor type 1', 'major histocompatibility complex, class I, E', 'vascular endothelial growth factor A', 'C-X-C motif chemokine ligand 9', 'CD80 molecule', 'interleukin 10', 'Fas cell surface death receptor', 'interleukin 4', 'signal transducer and activator of transcription 1', 'CD28 molecule', 'C-X-C motif chemokine ligand 8', 'interleukin 17A', 'CD40 molecule', 'transforming growth factor beta 1', 'interleukin 2', 'interferon gamma', 'interleukin 2 receptor subunit alpha', 'forkhead box P3', 'interleukin 1 beta']",96,2.5717834153319662e-14,20/96
